,fam_id,size,eval_lang,en_model,fr_model,bil_totalsize_A,bil_totalsize_B,same,different,bil_langsize,bil_totalsize,mono_avg
00_english_50,00,50,english,9.673377871513367,11.07543259859085,,,9.673377871513367,11.07543259859085,9.959045052528381,,10.374405235052109
00_french_50,00,50,french,12.125292420387268,12.214544415473938,,,12.214544415473938,12.125292420387268,12.225538492202759,,12.169918417930603
01_english_50,01,50,english,9.56154391169548,10.558226704597473,,,9.56154391169548,10.558226704597473,9.390057623386383,,10.059885308146477
01_french_50,01,50,french,12.099536508321762,11.54487431049347,,,11.54487431049347,12.099536508321762,11.301229894161224,,11.822205409407616
02_english_50,02,50,english,11.196111887693405,10.67802831530571,,,11.196111887693405,10.67802831530571,10.474614799022675,,10.937070101499557
02_french_50,02,50,french,13.315823674201965,11.98379322886467,,,11.98379322886467,13.315823674201965,12.253137677907944,,12.649808451533318
03_english_50,03,50,english,10.073018819093704,12.633328139781952,,,10.073018819093704,12.633328139781952,10.580962151288986,,11.353173479437828
03_french_50,03,50,french,12.289474159479141,13.025085628032684,,,13.025085628032684,12.289474159479141,11.603322625160217,,12.657279893755913
04_english_50,04,50,english,11.201035231351852,11.552836745977402,,,11.201035231351852,11.552836745977402,10.713620483875275,,11.376935988664627
04_french_50,04,50,french,12.468497455120087,12.51954734325409,,,12.51954734325409,12.468497455120087,12.313583493232727,,12.494022399187088
05_english_50,05,50,english,10.041990131139755,12.154246866703033,,,10.041990131139755,12.154246866703033,11.058670282363892,,11.098118498921394
05_french_50,05,50,french,12.046965956687927,12.813444435596466,,,12.813444435596466,12.046965956687927,12.226711958646774,,12.430205196142197
06_english_50,06,50,english,11.423388868570328,11.738542467355728,,,11.423388868570328,11.738542467355728,10.917780548334122,,11.580965667963028
06_french_50,06,50,french,13.322888314723969,12.747587263584137,,,12.747587263584137,13.322888314723969,12.877318263053894,,13.035237789154053
07_english_50,07,50,english,10.454145818948746,11.306621134281158,,,10.454145818948746,11.306621134281158,10.773660987615585,,10.880383476614952
07_french_50,07,50,french,12.54952847957611,12.354174256324768,,,12.354174256324768,12.54952847957611,12.371103465557098,,12.45185136795044
08_english_50,08,50,english,9.756679832935333,12.538591027259827,,,9.756679832935333,12.538591027259827,10.81768125295639,,11.14763543009758
08_french_50,08,50,french,12.300250679254532,13.311456143856049,,,13.311456143856049,12.300250679254532,13.12459409236908,,12.80585341155529
09_english_50,09,50,english,11.00534126162529,13.953250646591187,,,11.00534126162529,13.953250646591187,10.812512785196304,,12.479295954108238
09_french_50,09,50,french,13.04129809141159,16.64080023765564,,,16.64080023765564,13.04129809141159,12.271268665790558,,14.841049164533615
10_english_50,10,50,english,10.08898913860321,11.408943682909012,,,10.08898913860321,11.408943682909012,10.16872525215149,,10.748966410756111
